YEARS,K,GDP,pop,tfp
2015,223000.0,84351.49597003325,7224.805,4.172756471856662
2016,219257.32911340732,87834.39050436596,7290.5896,4.33954803477512
2017,216655.16211302712,91317.28504595094,7356.3742,4.499431141579862
2018,215079.44861183362,94800.1795402811,7422.1588,4.652199348132641
2019,214427.54324951212,98283.07402926871,7487.9434,4.797784903173634
2020,214607.06521100004,101765.96857260288,7553.728,4.936241808857159
2021,215534.87177587269,108189.2852057545,7603.9594,5.216763340034461
2022,217783.02734355142,114612.60180862993,7654.1908,5.483977491805177
2023,221219.49700709485,121035.91842882271,7704.4222,5.737850097832682
2024,225725.44936072634,127459.2350916037,7754.6536,5.978654656668442
2025,231193.93614480653,133882.55170733412,7804.885,6.206896356245631
2026,237528.7039059394,140305.8683382914,7855.1164,6.423240285612974
2027,244643.12454976953,146729.18496938478,7905.3478,6.628448914779474
2028,252459.23278805724,153152.50155370455,7955.5792,6.823331243026026
2029,260906.85985106655,159575.81818333786,8005.8106,7.008703899168934
2030,269922.8538662942,165999.1348250441,8056.042,7.185363147368749
2031,279450.3781411745,175196.89768921884,8091.0791,7.482220252015704
2032,290048.65781868517,184394.66051895477,8126.1162,7.764061436852395
2033,301610.6173509867,193592.4233551743,8161.1533,8.03208495928309
2034,314039.8887540264,202790.1862346472,8196.1904,8.287490862156874
2035,327249.74085024616,211987.94900599623,8231.2275,8.531436370424442
2036,341162.1155465407,221185.71189387044,8266.2646,8.765008013694267
2037,355706.76060853817,230383.47475803553,8301.3017,8.989206347171338
2038,370820.4489944522,239581.23759240302,8336.3388,9.20493978209015
2039,386446.2763653357,248779.0003753722,8371.3759,9.41302451814096
2040,402533.028811384,257976.76326063304,8406.413,9.614188377150272
2041,419034.6138475849,268238.58900646336,8424.1941,9.862259619584758
2042,436143.64204424835,278500.41479839955,8441.9752,10.102436566973727
2043,453799.3690954714,288762.2405855531,8459.7563,10.335482117084192
2044,471947.1251147459,299024.06629141624,8477.5374,10.562077246326306
2045,490537.70718738297,309285.89204560587,8495.3185,10.782826696635869
2046,509526.832718678,319547.7178228914,8513.0996,10.998265568646959
2047,528874.6473678463,329809.54358980816,8530.8807,11.208866221553816
2048,548545.2822208195,340071.36936791695,8548.6618,11.415045048462234
2049,568506.4552596792,350333.195126803,8566.4429,11.617168879664673
2050,588729.1126616079,360595.0209335338,8584.224,11.81556089609365
2051,609187.1060008246,371803.79414207174,8585.5051,12.057367862693573
2052,630065.2301119979,383012.5673497131,8586.7862,12.294642791630379
2053,651321.4719177351,394221.34061230114,8588.0673,12.527796911813894
2054,672918.0196606677,405430.1138148143,8589.3484,12.757195254051005
2055,694820.8427338602,416638.88701486355,8590.6295,12.983161482208454
2056,716999.3136037441,427847.66027098254,8591.9106,13.205982418069174
2057,739425.8675029859,439056.4334707632,8593.1917,13.425912212839483
2058,762075.6961162551,450265.20667450695,8594.4728,13.643176154490082
2059,784926.4719730212,461473.9798574798,8595.7539,13.857974074420719
2060,807958.1003443646,472682.75308178976,8597.035,14.07048340041193
2061,831152.495987922,485127.6248333593,8584.0209,14.334028217440933
2062,854765.3238524689,497572.4966254721,8571.0068,14.594190481049507
2063,878754.7407248259,510017.3683723443,8557.9927,14.851294956258613
2064,903083.0876942591,522462.2401647809,8544.9786,15.10563233267616
2065,927716.4717610851,534907.1119191376,8531.9645,15.357462517514499
2066,952624.3892071869,547351.9836257313,8518.9504,15.60701776478546
2067,977779.3866841291,559796.8554247889,8505.9363,15.854505578975385
2068,1.0031567562091699e6,572241.7271720418,8492.9222,16.100111366524093
2069,1.0287342605661021e6,584686.5988562127,8479.9081,16.344000870878585
2070,1.0544918862578587e6,597131.4706739255,8466.894,16.58632236171248
2071,1.0804116211803365e6,610307.0301461391,8441.3531,16.864875970222545
2072,1.1066380056944534e6,623482.5897529162,8415.8122,17.14176083194597
2073,1.1331403748706495e6,636658.1492689787,8390.2713,17.4171858261042
2074,1.15989113022276e6,649833.708796589,8364.7304,17.691338977770528
2075,1.1868654331357335e6,663009.2682736289,8339.1895,17.964389594666073
2076,1.2140409288423585e6,676184.8278191731,8313.6486,18.23649024519483
2077,1.241397498078341e6,689360.3874068193,8288.1077,18.50777853844811
2078,1.268917033500007e6,702535.9468715861,8262.5668,18.778378741758836
2079,1.2965832384617552e6,715711.5064079677,8237.0259,19.048403249480415
2080,1.3243814460253324e6,728887.0659882344,8211.485,19.317953872155037
2081,1.3522984559402107e6,742912.6601573713,8174.6987,19.628439129083628
2082,1.3805093955808114e6,756938.2543715853,8137.9124,19.93836475836545
2083,1.408984871984479e6,770963.8486140881,8101.1261,20.247916457495354
2084,1.4376984314811307e6,784989.4428423811,8064.3398,20.557263521306933
2085,1.4666262657583414e6,799015.0370778873,8027.5535,20.866560507834492
2086,1.4957469473396426e6,813040.6312293732,7990.7672,21.175948759160793
2087,1.5250411914761404e6,827066.2254532855,7953.9809,21.485557802083232
2088,1.554491641928249e6,841091.8194495394,7917.1946,21.795506592440127
2089,1.5840826780143229e6,855117.4138783911,7880.4083,22.105904694627387
2090,1.6138002412661368e6,869143.0081814701,7843.622,22.41685325441268
2091,1.6436316789394463e6,883646.641198942,7798.1112,22.758554960369544
2092,1.6736707721092692e6,898150.2751536744,7752.6004,23.10121479502047
2093,1.7038967554321506e6,912653.9081434455,7707.0896,23.444979077208792
2094,1.7342909396804934e6,927157.5414715303,7661.5788,23.789984426453294
2095,1.7648365048361807e6,941661.1752107964,7616.068,24.13635874117231
2096,1.7955183128989378e6,956164.8083647459,7570.5572,24.484222199452628
2097,1.8263227394492882e6,970668.4419293511,7525.0464,24.833688240530883
2098,1.8572375227288166e6,985172.075004855,7479.5356,25.18486427954073
2099,1.888251626957003e6,999675.708368905,7434.0248,25.53785253852289
2100,1.919355120102462e6,1.0141793418931146e6,7388.514,25.892750644994884
2101,1.9505390633087012e6,1.0192502382690719e6,7369.0883,25.944469424608968
2102,1.979720209397027e6,1.0243211352485755e6,7349.6626,26.00565562210814
2103,2.007098838212011e6,1.0293920319008332e6,7330.2369,26.075195126414716
2104,2.0328552014089932e6,1.0344629282626163e6,7310.8112,26.152132025931166
2105,2.0571515254858695e6,1.0395338252799822e6,7291.3855,26.235642149257544
2106,2.0801338144988785e6,1.0446047218412143e6,7271.9598,26.325011759107316
2107,2.101933471854058e6,1.0496756183836625e6,7252.5341,26.41962045224427
2108,2.122668760713058e6,1.0547465153791318e6,7233.1084,26.51892707804058
2109,2.1424461180251613e6,1.0598174118425811e6,7213.6827,26.622458142921293
2110,2.161361336828013e6,1.0648883089001141e6,7194.257,26.729798318096556
2111,2.1795006311032367e6,1.0699592054063778e6,7174.8313,26.840582328106244
2112,2.196941593182316e6,1.0750301022183776e6,7155.4056,26.954488340707517
2113,2.213754056352128e6,1.0801009985497887e6,7135.9799,27.07123219663917
2114,2.2300008703978686e6,1.0851718955000914e6,7116.5542,27.190562677361978
2115,2.2457386003681016e6,1.090242792428305e6,7097.1285,27.312257296034204
2116,2.2610181546655186e6,1.09531368904716e6,7077.7028,27.436118821148007
2117,2.275885350789342e6,1.1003845853648228e6,7058.2771,27.56197223412789
2118,2.290381424490669e6,1.1054554823304997e6,7038.8514,27.689662116196015
2119,2.304543488154312e6,1.110526378958681e6,7019.4257,27.819050294166402
2120,2.318404942709791e6,1.1155972758e6,7000.0,27.950013942637845
2121,2.331995849114812e6,1.1183862689999999e6,7000.0,27.970798617576623
2122,2.3448412433833308e6,1.1211752622e6,7000.0,27.994379488301764
2123,2.357015676728998e6,1.1239642554e6,7000.0,28.020451608694238
2124,2.368586245244098e6,1.1267532486e6,7000.0,28.048744730981934
2125,2.379613335411688e6,1.1295422418000002e6,7000.0,28.079019002411577
2126,2.390151295066519e6,1.132331235e6,7000.0,28.111061263575273
2127,2.4002490372598674e6,1.1351202282e6,7000.0,28.14468185176036
2128,2.4099505837378805e6,1.1379092214000002e6,7000.0,28.179711830426715
2129,2.4192955540720928e6,1.1406982146e6,7000.0,28.21600058000874
2130,2.4283196058768835e6,1.1434872078e6,7000.0,28.253413696508417
2131,2.437054831005195e6,1.146276201e6,7000.0,28.291831153412797
2132,2.4455301121246754e6,1.1490651942e6,7000.0,28.33114568980639
2133,2.453771443636208e6,1.1518541874e6,7000.0,28.371261393519774
2134,2.461802220500587e6,1.1546431805999998e6,7000.0,28.412092453041485
2135,2.469643498182528e6,1.1574321738e6,7000.0,28.453562055938576
2136,2.4773142266002754e6,1.160221167e6,7000.0,28.4956014148535
2137,2.4848314606802478e6,1.1630101601999998e6,7000.0,28.538148904904705
2138,2.4922105498562227e6,1.1657991534e6,7000.0,28.58114929862223
2139,2.4994653086186005e6,1.1685881466e6,7000.0,28.62455308648125
2140,2.5066081700087404e6,1.1713771398e6,7000.0,28.668315872723802
2141,2.5136503237638664e6,1.1728413613e6,7000.0,28.680002615917555
2142,2.5203103908734797e6,1.1743055821e6,7000.0,28.6930218017585
2143,2.526626579848132e6,1.1757698036e6,7000.0,28.70723444964347
2144,2.532633278655319e6,1.1772340251e6,7000.0,28.722516333308224
2145,2.5383614363117875e6,1.1786982466e6,7000.0,28.738756397155594
2146,2.5438389069326087e6,1.1801624681000002e6,7000.0,28.75585528405903
2147,2.549090759221348e6,1.1816266896e6,7000.0,28.773724053460622
2148,2.5541395550112133e6,1.1830909111e6,7000.0,28.792283049396953
2149,2.559005599952092e6,1.1845551326000001e6,7000.0,28.811460899155573
2150,2.5637071691288827e6,1.1860193540999999e6,7000.0,28.831193626065538
2151,2.568260710117995e6,1.1874835755999999e6,7000.0,28.85142386226481
2152,2.5726810257381955e6,1.1889477964e6,7000.0,28.87210013225253
2153,2.576981438372376e6,1.1904120179e6,7000.0,28.89317629920693
2154,2.581173938473138e6,1.1918762393999998e6,7000.0,28.914610907268067
2155,2.585269317293824e6,1.1933404609e6,7000.0,28.936366757295115
2156,2.5892772869624416e6,1.1948046824e6,7000.0,28.958410448591476
2157,2.593206588394197e6,1.1962689039e6,7000.0,28.98071198539354
2158,2.5970650884127775e6,1.1977331254e6,7000.0,29.003244425229855
2159,2.6008598671595e6,1.1991973469e6,7000.0,29.025983564486708
2160,2.6045972967615495e6,1.2006615684e6,7000.0,29.048907657074768
2161,2.6082831121333945e6,1.2006615684e6,7000.0,29.036586689186628
2162,2.611600345968055e6,1.2006615684e6,7000.0,29.025517154750254
2163,2.6145858564192494e6,1.2006615684e6,7000.0,29.015570190560076
2164,2.6172728158253245e6,1.2006615684e6,7000.0,29.006630539075676
2165,2.619691079290792e6,1.2006615684e6,7000.0,28.998595047726592
2166,2.6218675164097124e6,1.2006615684e6,7000.0,28.99137134586309
2167,2.623826309816741e6,1.2006615684e6,7000.0,28.984876676085094
2168,2.625589223883067e6,1.2006615684e6,7000.0,28.979036860127362
2169,2.62717584654276e6,1.2006615684e6,7000.0,28.973785382347092
2170,2.628603806936484e6,1.2006615684e6,7000.0,28.969062576257855
2171,2.629888971290835e6,1.2006615684e6,7000.0,28.96481490156857
2172,2.6310456192097515e6,1.2006615684e6,7000.0,28.960994300884682
2173,2.6320866023367764e6,1.2006615684e6,7000.0,28.95755762666812
2174,2.633023487151099e6,1.2006615684e6,7000.0,28.954466130276394
2175,2.633866683483989e6,1.2006615684e6,7000.0,28.951685005945663
2176,2.63462556018359e6,1.2006615684e6,7000.0,28.949182983478053
2177,2.6353085492132306e6,1.2006615684e6,7000.0,28.946931964162705
2178,2.6359232393399077e6,1.2006615684e6,7000.0,28.944906695124274
2179,2.636476460453917e6,1.2006615684e6,7000.0,28.943084477866773
2180,2.636974359456525e6,1.2006615684e6,7000.0,28.94144490727953
2181,2.6374224685588726e6,1.2006615684e6,7000.0,28.939969637806055
2182,2.6378257667509853e6,1.2006615684e6,7000.0,28.938642173855218
2183,2.6381887351238867e6,1.2006615684e6,7000.0,28.937447681865805
2184,2.638515406659498e6,1.2006615684e6,7000.0,28.936372821726053
2185,2.638809411041548e6,1.2006615684e6,7000.0,28.935405595505074
2186,2.6390740149853933e6,1.2006615684e6,7000.0,28.93453521167826
2187,2.6393121585348537e6,1.2006615684e6,7000.0,28.93375196322706
2188,2.6395264877293683e6,1.2006615684e6,7000.0,28.933047118168886
2189,2.6397193840044313e6,1.2006615684e6,7000.0,28.9324128212284
2190,2.639892990651988e6,1.2006615684e6,7000.0,28.931842005498897
2191,2.640049236634789e6,1.2006615684e6,7000.0,28.931328313064718
2192,2.64018985801931e6,1.2006615684e6,7000.0,28.930866023664464
2193,2.640316417265379e6,1.2006615684e6,7000.0,28.930449990571198
2194,2.640430320586841e6,1.2006615684e6,7000.0,28.930075582952018
2195,2.6405328335761568e6,1.2006615684e6,7000.0,28.929738634046437
2196,2.640625095266541e6,1.2006615684e6,7000.0,28.929435394570973
2197,2.6407081307878867e6,1.2006615684e6,7000.0,28.929162490819145
2198,2.640782862757098e6,1.2006615684e6,7000.0,28.92891688698045
2199,2.6408501215293882e6,1.2006615684e6,7000.0,28.928695851250843
2200,2.6409106544244494e6,1.2006615684e6,7000.0,28.928496925351265
2201,2.6409651340300045e6,1.2006615684e6,7000.0,28.9283178971096
2202,2.641014165675004e6,1.2006615684e6,7000.0,28.92815677579696
2203,2.6410582941555036e6,1.2006615684e6,7000.0,28.928011769940355
2204,2.641098009787953e6,1.2006615684e6,7000.0,28.927881267362395
2205,2.6411337538571577e6,1.2006615684e6,7000.0,28.92776381722345
2206,2.641165923519442e6,1.2006615684e6,7000.0,28.92765811386515
2207,2.6411948762154975e6,1.2006615684e6,7000.0,28.9275629822737
2208,2.641220933641948e6,1.2006615684e6,7000.0,28.927477365000488
2209,2.641244385325753e6,1.2006615684e6,7000.0,28.927400310393455
2210,2.641265491841178e6,1.2006615684e6,7000.0,28.927330962007566
2211,2.64128448770506e6,1.2006615684e6,7000.0,28.927268549076228
2212,2.641301583982554e6,1.2006615684e6,7000.0,28.927212377936932
2213,2.6413169706322984e6,1.2006615684e6,7000.0,28.92716182431569
2214,2.641330818617068e6,1.2006615684e6,7000.0,28.92711632638389
2215,2.641343281803361e6,1.2006615684e6,7000.0,28.92707537851041
2216,2.641354498671025e6,1.2006615684e6,7000.0,28.927038525639023
2217,2.6413645938519225e6,1.2006615684e6,7000.0,28.92700535822874
2218,2.6413736795147303e6,1.2006615684e6,7000.0,28.926975507700373
2219,2.6413818566112574e6,1.2006615684e6,7000.0,28.92694864233897
2220,2.641389215998132e6,1.2006615684e6,7000.0,28.926924463606152
2221,2.6413958394463183e6,1.2006615684e6,7000.0,28.926902702821494
2222,2.6414018005496864e6,1.2006615684e6,7000.0,28.92688311817595
2223,2.6414071655427176e6,1.2006615684e6,7000.0,28.92686549204409
2224,2.641411994036446e6,1.2006615684e6,7000.0,28.926849628565204
2225,2.641416339680801e6,1.2006615684e6,7000.0,28.92683535146644
2226,2.641420250760721e6,1.2006615684e6,7000.0,28.92682250210366
2227,2.6414237707326487e6,1.2006615684e6,7000.0,28.926810937698306
2228,2.641426938707384e6,1.2006615684e6,7000.0,28.926800529750615
2229,2.6414297898846455e6,1.2006615684e6,7000.0,28.926791162611572
2230,2.641432355944181e6,1.2006615684e6,7000.0,28.926782732197665
2231,2.641434665397763e6,1.2006615684e6,7000.0,28.926775144834256
2232,2.641436743905986e6,1.2006615684e6,7000.0,28.92676831621456
2233,2.6414386145633874e6,1.2006615684e6,7000.0,28.92676217046281
2234,2.6414402981550484e6,1.2006615684e6,7000.0,28.926756639291067
2235,2.6414418133875434e6,1.2006615684e6,7000.0,28.92675166124042
2236,2.641443177096789e6,1.2006615684e6,7000.0,28.926747180998014
2237,2.64144440443511e6,1.2006615684e6,7000.0,28.92674314878241
2238,2.6414455090395985e6,1.2006615684e6,7000.0,28.92673951979046
2239,2.6414465031836387e6,1.2006615684e6,7000.0,28.92673625369939
2240,2.641447397913275e6,1.2006615684e6,7000.0,28.926733314218787
2241,2.641448203169947e6,1.2006615684e6,7000.0,28.926730668687355
2242,2.6414489279009523e6,1.2006615684e6,7000.0,28.926728287709963
2243,2.641449580158857e6,1.2006615684e6,7000.0,28.92672614483103
2244,2.6414501671909713e6,1.2006615684e6,7000.0,28.926724216240583
2245,2.641450695519874e6,1.2006615684e6,7000.0,28.92672248050966
2246,2.6414511710158866e6,1.2006615684e6,7000.0,28.926720918352213
2247,2.6414515989622977e6,1.2006615684e6,7000.0,28.926719512410823
2248,2.6414519841140676e6,1.2006615684e6,7000.0,28.926718247063825
2249,2.641452330750661e6,1.2006615684e6,7000.0,28.92671710825173
2250,2.641452642723595e6,1.2006615684e6,7000.0,28.926716083321015
2251,2.6414529234992354e6,1.2006615684e6,7000.0,28.926715160883504
2252,2.641453176197312e6,1.2006615684e6,7000.0,28.926714330689848
2253,2.6414534036255805e6,1.2006615684e6,7000.0,28.926713583515653
2254,2.641453608311022e6,1.2006615684e6,7000.0,28.92671291105895
2255,2.6414537925279196e6,1.2006615684e6,7000.0,28.92671230584797
2256,2.6414539583231276e6,1.2006615684e6,7000.0,28.92671176115814
2257,2.6414541075388147e6,1.2006615684e6,7000.0,28.926711270937325
2258,2.641454241832933e6,1.2006615684e6,7000.0,28.926710829738624
2259,2.6414543626976395e6,1.2006615684e6,7000.0,28.926710432659824
2260,2.6414544714758755e6,1.2006615684e6,7000.0,28.926710075288916
2261,2.641454569376288e6,1.2006615684e6,7000.0,28.92670975365512
2262,2.641454657486659e6,1.2006615684e6,7000.0,28.926709464184718
2263,2.641454736785993e6,1.2006615684e6,7000.0,28.926709203661364
2264,2.6414548081553937e6,1.2006615684e6,7000.0,28.92670896919035
2265,2.6414548723878544e6,1.2006615684e6,7000.0,28.926708758166452
2266,2.641454930197069e6,1.2006615684e6,7000.0,28.926708568244944
2267,2.6414549822253617e6,1.2006615684e6,7000.0,28.92670839731559
2268,2.6414550290508256e6,1.2006615684e6,7000.0,28.926708243479183
2269,2.641455071193743e6,1.2006615684e6,7000.0,28.926708105026414
2270,2.6414551091223685e6,1.2006615684e6,7000.0,28.92670798041893
2271,2.6414551432581316e6,1.2006615684e6,7000.0,28.926707868272192
2272,2.6414551739803185e6,1.2006615684e6,7000.0,28.926707767340126
2273,2.6414552016302864e6,1.2006615684e6,7000.0,28.926707676501277
2274,2.6414552265152577e6,1.2006615684e6,7000.0,28.926707594746308
2275,2.641455248911732e6,1.2006615684e6,7000.0,28.926707521166836
2276,2.6414552690685587e6,1.2006615684e6,7000.0,28.92670745494531
2277,2.6414552872097027e6,1.2006615684e6,7000.0,28.926707395345943
2278,2.641455303536732e6,1.2006615684e6,7000.0,28.92670734170651
2279,2.641455318231059e6,1.2006615684e6,7000.0,28.926707293431022
2280,2.641455331455953e6,1.2006615684e6,7000.0,28.926707249983078
2281,2.6414553433583574e6,1.2006615684e6,7000.0,28.926707210879936
2282,2.6414553540705214e6,1.2006615684e6,7000.0,28.926707175687103
2283,2.6414553637114693e6,1.2006615684e6,7000.0,28.926707144013555
2284,2.6414553723883224e6,1.2006615684e6,7000.0,28.926707115507366
2285,2.64145538019749e6,1.2006615684e6,7000.0,28.926707089851792
2286,2.641455387225741e6,1.2006615684e6,7000.0,28.926707066761775
2287,2.6414553935511666e6,1.2006615684e6,7000.0,28.926707045980766
2288,2.64145539924405e6,1.2006615684e6,7000.0,28.926707027277846
2289,2.641455404367645e6,1.2006615684e6,7000.0,28.92670701044523
2290,2.6414554089788804e6,1.2006615684e6,7000.0,28.926706995295866
2291,2.641455413128992e6,1.2006615684e6,7000.0,28.926706981661447
2292,2.641455416864093e6,1.2006615684e6,7000.0,28.92670696939047
2293,2.6414554202256836e6,1.2006615684e6,7000.0,28.926706958346585
2294,2.6414554232511153e6,1.2006615684e6,7000.0,28.92670694840709
2295,2.6414554259740035e6,1.2006615684e6,7000.0,28.926706939461546
2296,2.641455428424603e6,1.2006615684e6,7000.0,28.92670693141055
2297,2.6414554306301423e6,1.2006615684e6,7000.0,28.926706924164662
2298,2.641455432615128e6,1.2006615684e6,7000.0,28.92670691764336
2299,2.641455434401615e6,1.2006615684e6,7000.0,28.92670691177419
2300,2.6414554360094536e6,1.2006615684e6,7000.0,28.926706906491933
